urn:nasa:pds:context:facility:observatory.caha-calar_alto,urn:nasa:pds:context:telescope:caha.1m23,urn:nasa:pds:context:instrument:multi-host.generic_nicmos_ir_camera,Centro Astronomico Hispano-Aleman,1.23m Telescope,Generic NICMOS IR Camera
urn:nasa:pds:context:facility:observatory.ctio-cerro_tololo,urn:nasa:pds:context:telescope:ctio-cerro_tololo.smarts_1m50,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,Cerro Tololo Inter-American Observatory,SMARTS 1.5m Telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.ctio-cerro_tololo,urn:nasa:pds:context:telescope:ctio-cerro_tololo.victorblanco_4m0,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,Cerro Tololo Inter-American Observatory,Victor Blanco 4.0m Telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.ctio-cerro_tololo,urn:nasa:pds:context:telescope:ctio-cerro_tololo.victorblanco_4m0,urn:nasa:pds:context:instrument:multi-host.generic_ir_hsp,Cerro Tololo Inter-American Observatory,Victor Blanco 4.0m Telescope,Generic IR High Speed Photometer
urn:nasa:pds:context:facility:observatory.eso-la_silla,urn:nasa:pds:context:telescope:eso-la_silla.1m04,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,European Southern Observatory-La Silla,ESO-La Silla 1.04m Telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.eso-la_silla,urn:nasa:pds:context:telescope:eso-la_silla.2m2,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,European Southern Observatory-La Silla,ESO-La Silla 2.2m Telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.eso-la_silla,urn:nasa:pds:context:telescope:eso-la_silla.3m6,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,European Southern Observatory-La Silla,ESO-La Silla 3.6m Telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.irtf-maunakea,urn:nasa:pds:context:telescope:irtf-maunakea.3m2,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,Infra Red Telescope Facility-Maunakea,IRTF 3.2m,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.kuiper-airborne,urn:nasa:pds:context:telescope:kuiper-airborne.0m91,urn:nasa:pds:context:instrument:multi-host.generic_vis_hsp,Kuiper Airborne Observatory,0.91m Telescope,Generic Visual High Speed Photometer
urn:nasa:pds:context:facility:observatory.las_campanas,urn:nasa:pds:context:telescope:las_campanas.swope_1m0,urn:nasa:pds:context:instrument:multi-host.generic_ir_hsp,Las Campanas Observatory,Swope 1.0m Telescope,Generic IR High Speed Photometer
urn:nasa:pds:context:facility:observatory.las_campanas,urn:nasa:pds:context:telescope:las_campanas.ireneedupont_2m5,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,Las Campanas Observatory,Irenee du Pont 2.5m Telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.lowell,urn:nasa:pds:context:telescope:lowell.perkins_warner1m83,urn:nasa:pds:context:instrument:multi-host.generic_ccd_camera,Lowell Observatory,Perkins 1.8m Telescope,Generic CCD Camera
urn:nasa:pds:context:facility:observatory.mcdonald,urn:nasa:pds:context:telescope:mcdonald.harlanjsmith_2m7,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,McDonald Observatory,Harlan J. Smith 2.7m Telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.mount_stromlo,urn:nasa:pds:context:telescope:mount_stromlo.1m9,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,Mount Stromlo Observatory,1.9m Telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.pic_du_midi-bigorre,urn:nasa:pds:context:telescope:pic_du_midi.1m06,urn:nasa:pds:context:instrument:multi-host.generic_gaas_hsp,Pic du Midi de Bigorre,1.06m Telescope,Generic GaAs High Speed Photometer
urn:nasa:pds:context:facility:observatory.pic_du_midi-bigorre,urn:nasa:pds:context:telescope:pic_du_midi.bernardlyot_2m0,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,Pic du Midi de Bigorre,Bernard Lyot 2.0m,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.palomar,urn:nasa:pds:context:telescope:palomar.hale_5m08,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,Palomar Observatory,Hale 5.08m Telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.saao,urn:nasa:pds:context:telescope:saao.radcliffe_1m88,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,South African Astronomical Observatory,Radcliffe 1.88m telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.siding_spring,urn:nasa:pds:context:telescope:siding_spring.anu_2m3,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,Siding Spring Observatory,Australian National University 2.3m Telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.siding_spring,urn:nasa:pds:context:telescope:siding_spring.aat_3m9,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,Siding Spring Observatory,3.9m Anglo-Australian Telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.teide,urn:nasa:pds:context:telescope:teide.carlossanchez_1m55,urn:nasa:pds:context:instrument:multi-host.generic_insp_hsp,Observatorio del Teide,Carlos Sanchez 1.55 Telescope,Generic InSb High Speed Photometer
urn:nasa:pds:context:facility:observatory.teide,urn:nasa:pds:context:telescope:teide.carlossanchez_1m55,urn:nasa:pds:context:instrument:multi-host.generic_ir_hsp,Observatorio del Teide,Carlos Sanchez 1.55 Telescope,Generic IR High Speed Photometer
